TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
SVA1626001,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\IRLY412.ATSPF,1994.0,Kvinna,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42466.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,14.0,14.0,,,,,,,,,37.0,5.0,29.0,5.0,2.0,7.0,,,,13.0,5.0,8.0,9.0,4.0,17.0,6.0,5.0,18.0,,,,,,,7.0,7.0,1.0,12.0,0.0,2.0,59.0,0.0,64.0,0.0,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762999999997199999984997854999999999999X,,,X4261172544138572788628465453224764457374310000000000000000000000000000000000000000210030005200610022004400250051002400280045008900670081007000590032017500760084005600630091008700440078007300940049005401810195005000420063011400690042009700980060002800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000323276500028012860400832765327653276500085327653276532765000000000000000000000000000000X,,X461346364614614223514416660000662416656441466662224666666661636126263666613664666666616540X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000100000000000100000000000000000000010000000100010000000000000100010000000000001000010000000000000101000009999999999999999000010000010000000000100000100008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342329931210000000000000000X,X0101010101010110111101011100011101111110001100110101001100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1616005,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\LGBK150.ATSPF,1960.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42445.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,8.0,,,,,,,,,19.0,8.0,10.0,3.0,3.0,2.0,,,,6.0,0.0,0.0,5.0,2.0,1.0,1.0,5.0,0.0,,,,,,,6.0,4.0,0.0,7.0,1.0,0.0,75.0,16.0,50.0,4.0,39.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X286857999916990000000000000000000000000000X,,,X4263173244188782788588255450000000000000000000000000000000000000000000000000000000420088003300960029011100280063003200440066010100380034005100570026016201820392017600480151048601650055004600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700009000323276500013012860401132765000000000000000000000000000000000000000000000000000000000000X,,X421343000000000000000000000000262412430000000000000000000000313252000000000000000000000000X,,X0010000000000000000000001000000000000000000000010000000000001000010000000000000000000000000000100000000000001000000000000010000000000000001001000000000110000000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422312320000000000000000000000X,X0001010001010110101101001100010001100110000100000100001100010011000010100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100111101010110101001010011010001101011010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0110010010100111110100101001010011000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1616004,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\RZEM472.ATSPF,1990.0,Kvinna,Okänd,Svenska/Danska/Norska,42443.0,Yrsa Petersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,0.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X53262426157582731632372327282515853643431723616731X,,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000000001001001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000000000000000100100888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211422200000000000X,,,,,,,
SVA1616003,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\ETGW040.ATSPF,1990.0,Kvinna,"1 Särskola, hjälpklass, ej avslutad grundskola",Annat,42436.0,Yrsa Petersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,0.0,38.0,,,,,0.0,25.0,0.0,53.0,11.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,0.0,4.0,7.0,0.0,38.0,3.0,50.0,5.0,29.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282767847363746243511584451438340000000000X,,X34735172426284257872357281458786533831238481714384X,X4267174742152627783728000000000000000000000000000000000000000000000000000000000001170055018100870100006700590088011902700129017501380051004200570155045401460047011601750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000000010000000000000001000000000001000000000001000000000000000000001000000000000000001000000000000000000010000101000000000000001000000100000000000000101000000001000100000000110000000000000100100000000000000000001000100000000000000000011100010000100000000000000101100008888888888888888888888888888888888888888888888888888888888888888X,X414323334440000000000000000000X,X0101010101010100110101011100011101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011110000010101101010011010011100011001100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X1111001111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1616002,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\DZHO534.ATSPF,1980.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42410.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,0.0,37.0,,,,,,,,,59.0,4.0,57.0,10.0,4.0,0.0,,,,20.0,5.0,0.0,21.0,8.0,1.0,22.0,8.0,0.0,,,,,,,14.0,2.0,0.0,23.0,0.0,0.0,130.0,0.0,109.0,2.0,110.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187374384237854646521000000X,,,X4263172544158572788628465451224764467356318431787572786645427330000000000000000000140018002000200018002800150053001600180019009900400027001600470015002400250037001700190017004300310015008401240019002500270049001400340016005300220037007102920020001800400025001600210037002700300021003901640021003900320038001700450047003700580044036300000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320000900023012860100801386001090003800085006900082501525000000000000000000000000000000X,,X421343322314523413523412500000232412252441111552222313435201335325251322233355535542421543X,,X0010000000000000000000001000000000000100000000000000000000001000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000000000000000100100888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211422223310000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010111010111011000011111010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011001101110110100110111010011011011111000111101001010100011111100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101011101001111100101100100101111101110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1616001,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\WPQH427.ATSPF,1987.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42409.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,16.0,,,,,,,,,32.0,3.0,25.0,,,,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,16.0,3.0,1.0,50.0,1.0,60.0,1.0,89.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282757835416997187000000000000000000000000X,,,X4263172544178572788628465432224764400000000000000000000000000000000000000000000000380017006700350031005500290057003800420037020800340071004501680038009601410318003200530079006400570075012801740079015700810136003200280034000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422344321491211423240000000000X,X0101010101010110111101011100010101111110001100110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010111101101010011010011101011011101110110000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101011101001111100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1546011,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\DNFR219.ATSPF,1990.0,Man,Okänd,Svenska/Danska/Norska,42349.0,Yrsa Petersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,1.0,16.0,,,,,,,,,26.0,5.0,6.0,8.0,3.0,2.0,,,,8.0,5.0,0.0,5.0,5.0,5.0,4.0,1.0,5.0,,,,,,,16.0,2.0,0.0,10.0,2.0,0.0,34.0,2.0,75.0,1.0,101.0,4.0,18.0,15.0,1.0,24.0,8.0,38.0,3.0,22.0,2.0,50.0,6.0,48.0,3.0,4.0,8.0,6.0,8.0,1.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,X282762835416997187000000000000000000000000X,,,X4223132542188772788628465454224000000000000000000000000000000000000000000000000000220034001201110027007900290096003000310077023600540025009801120026008500340209004201130197012600440087010204460055005600960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000323276500023011860400801316327650003800047006900090000000000000000000000000000000000000X,,X431343532331500000000000000000562316616415463000000000000000635626156600000000000000000000X,,X0010000000000000000000001000000000000100000000000000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000000000000000100100011000100000000000000101100000008888888888888888888888888888888888888888888888888888888888888888X,X422342321241000000000000000000X,X0101010100010110101101011100010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101010011101110110100110111010011011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010000100111110111100101110101101100100101010110100101111001011001101011101100111100101100100101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X111010111100111011101111X,X010101000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000100000010010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001101101001010010101001101001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010110011110010001110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001001000011011011010010110010110111000010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001000011110000001100111010111001100111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101011101000100100001101001011011110110110110111X,,
SVA1546008,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\ILGQ689.ATSPF,1990.0,Man,"1 Särskola, hjälpklass, ej avslutad grundskola",Annat,42300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,20.0,3.0,46.0,24.0,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,5.0,14.0,3.0,4.0,6.0,4.0,55.0,6.0,,,70.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X53261514996727123499714863133176734716482321345899X,X4263172344168572788628465350000000000000000000000000000000000000000000000000000000360039004301320036002800240102002900250097021800340063003602040039004301180741011200490155021800580033005300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000100000000000000000000010000000000000010099999999999999990000100000000000000000000010000000001000001000001000000010000000000000010000001000010000000100000110000000000000010000000000010001000000000001009999999999999999001000100010000010000010000001000111000000000000999999999999999901100100000000000000000000011100X,X494319221149390000000000000000X,X0101010001010110101101001100010001111110001110110100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X0101010000100110110111000001010011001010000010010010100101110010101001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1536007,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\NFFS958.ATSPF,1990.0,Man,Okänd,Svenska/Danska/Norska,42279.0,Yrsa Petersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,0.0,7.0,10.0,0.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000000000001000000000100000000000000010001000001000000010000000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X444132323433433440000000000000X,,,X0011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1536006,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\OQGV539.ATSPF,1995.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42277.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,16.0,15.0,,,,,,,,,32.0,10.0,16.0,4.0,6.0,10.0,,,,12.0,5.0,0.0,6.0,6.0,18.0,3.0,3.0,24.0,,,,,,,14.0,1.0,0.0,18.0,1.0,0.0,30.0,5.0,85.0,3.0,132.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282784539916999999999999999999999999999999X,,,X4263172544188768788628475355224664417333310000000000000000000000000000000000000000380023002600400025006000270115003100240027005700440027005701270051005901160126004500740241010900630051018200550051003401320055002700480030008200640159018500170023003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000223276500023011860101801086327650003800085327653276532765000563276532765327653276532765X,,X433342324314424420000000000000262416666611116562633666666666435316666661666666666666666666X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000000000000000101001000000000010000001010000000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211432200000000000X,X0101010101000110101101000101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010111101101010011010011101011011001110110100110111010011011011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101100101101110000101010111100101111010011000101010101001101100101100100101110100110100111010100001010110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1536005,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\UUZQ127.ATSPF,1955.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42275.0,Yrsa Petersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,3.0,13.0,,,,,,,,,46.0,10.0,43.0,8.0,2.0,1.0,,,,18.0,1.0,2.0,10.0,6.0,5.0,16.0,4.0,2.0,,,,,,,2.0,2.0,2.0,1.0,2.0,0.0,62.0,1.0,50.0,5.0,18.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762999916157199000000000000000000000000X,,,X4261132542148572788228465451224264467355418431787571786600000000000000000000000000250043003500960025003000190049002000230025007300440079003200590026006700340149005600350025006100280034001900850029002400230086006200350022005600390052001900880083004501310038002900500046003300260035005801450036007901500099000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320000900023012800390801296327650003800047000000000000000000000000000000000000000000000X,,X421643322314524463554000000000532416262345416636154000000000335123551326233455635200000000X,,X9999999999999999000000000000001000000000000000019999999999999999001000000000000000000000000000108888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X414000000000000000000000000000X,X0101010101010110111101011100011101111110001100100101001110110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011011000010101101010011010011100011001100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X1011010010100010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1536004,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\DXHF955.ATSPF,1990.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42261.0,Yrsa Petersson,Specifika inlärningssvårigheter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,5.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,0.0,88.0,4.0,135.0,7.0,,38.0,1.0,20.0,3.0,50.0,2.0,45.0,4.0,50.0,3.0,48.0,4.0,3.0,10.0,4.0,9.0,0.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,X4263182544188572788628465451223764467357318431787578786645400000000000000000000000210013001700420026002400250030002900220026004500250026002400190023002300590073003700180052005200750032002801710032003001290142001700310022003900620022002900610024002400670112002700350062005000730027009600900147003600700068003200480124000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,,,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011101011110010110101001010011010001101011011101110110100110111010011011011111010111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111000101110101101110100101010111100101111001011001001011101101001100101100100101011100110000111010100101110110011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X010101010101011011110101110001010111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010110000101001011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001111001011010110101001101001110101001110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100111110010001000100100111101011101010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101001010001111011110000110010110111010010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111001100011111000001110111010110001100111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000110001111100000101101110001010110110111111X,,
SVA1536003,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\DWZJ000.ATSPF,1995.0,Man,"1 Särskola, hjälpklass, ej avslutad grundskola",Annat,42236.0,Yrsa Petersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,0.0,51.0,26.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,0.0,2.0,5.0,1.0,56.0,13.0,38.0,3.0,28.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X23233786187318122826141723135734121472233212344757X,X4243132348142532788628775551223864467346300000000000000000000000000000000000000000360041003701260038002900490115003800430077005900390139007301500062007400500095007600730105003000740049008000290193007300410033004501480033003600730071017700350030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0100000000000000000001000000000000000000000000010000000000001000000000000000010000000000000000100000000000000010000100000000000000000010000000100000000000110000000100000000100088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X214322190000000000000000000000X,X0001010100010110101101010000011101001010001100010110010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011110011101110110101101010011010010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0110000010010110110000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
